mun,gini_mean,year,pto,trat_2
Tlalpujahua,0.319094514,2008,0,0
Tepalcatepec,0.382989952,2008,0,0
Buenavista,0.218032667,2008,0,0
Pajacuaran,0.169594992,2008,0,0
Zinapecuaro,0.299128943,2008,0,1
Querendaro,0.217536761,2008,0,0
Indaparapeo,0.233845097,2008,0,0
Ocampo,0.148646344,2008,0,1
Vista Hermosa,0.231792496,2008,0,0
Tanhuato,0.282127092,2008,0,0
Brisenas,0.206139268,2008,0,0
Zinaparo,0.039652293,2008,0,0
Churintzio,0.153236118,2008,0,0
Numaran,0.298768471,2008,0,0
Maravatio,0.368259324,2008,0,0
Contepec,0.243841818,2008,0,0
Huetamo,0.349958167,2008,0,0
San Lucas,0.32043749,2008,0,0
Tangancicuaro,0.230756206,2008,0,1
Purepero,0.266529962,2008,0,1
Tlazazalca,0.276773095,2008,0,0
Cojumatlan de Regules,0.434515163,2008,0,0
Irimbo,0.145617724,2008,0,0
Aporo,0.193340774,2008,0,0
Tuxpan,0.31114972,2008,0,1
Senguio,0.080646318,2008,0,0
Charo,0.223498076,2008,0,0
Alvaro Obregon,0.419182218,2008,0,0
Chavinda,0.244933572,2008,0,0
Tangamandapio,0.169700457,2008,0,1
Ziracuaretiro,0.337701521,2008,0,1
Nuevo Parangaricutiro,0.223271392,2008,0,1
Coeneo,0.157914882,2008,0,0
Jimenez,0.248391257,2008,0,0
Yurecuaro,0.313960186,2008,0,0
Nahuatzen,0.192109231,2008,0,0
Ecuandureo,0.272154291,2008,0,0
Villamar,0.258876142,2008,0,0
Coalcoman,0.298796507,2008,0,0
Tiquicheo,0.185206191,2008,0,0
Tumbiscatio,0.239537037,2008,0,0
Tuzantla,0.289860648,2008,0,0
Aguililla,0.16674085,2008,0,0
Huaniqueo,0.401681499,2008,0,0
Ixtlan,0.11438309,2008,0,0
Tancitaro,0.323837936,2008,0,1
Caracuaro,0.194620083,2008,0,0
Cuitzeo,0.367720789,2008,0,0
Chucandiro,0.048249326,2008,0,0
Santa Ana Maya,0.181337589,2008,0,0
Huandacareo,0.154931924,2008,0,0
Copandaro,0.071491934,2008,0,0
Tzitzio,0,2008,0,0
Marcos Castellanos,0.290911815,2008,0,0
Juarez,0.100593339,2008,0,1
Susupuato,0.017676768,2008,0,0
Coahuayana,0.369895465,2008,0,0
Aquila,0.433853613,2008,0,0
Epitacio Huerta,0.111714607,2008,0,0
Apatzingan,0.386931752,2009,0,1
Arteaga,0.29645982,2009,0,0
Cotija,0.352777261,2009,0,1
Charapan,0.343226669,2009,0,0
Cheran,0.188629015,2009,0,0
Chilchota,0.18886962,2009,0,1
Gabriel Zamora,0.301394065,2009,0,0
Hidalgo,0.422351929,2009,0,1
Jacona,0.404958117,2009,0,0
Jiquilpan,0.388312047,2009,0,0
Jungapeo,0.242884684,2009,0,1
La Piedad,0.396563115,2009,0,0
Lazaro Cardenas,0.440278512,2009,0,0
Los Reyes,0.394955599,2009,0,1
Morelia,0.444127542,2009,0,0
Mugica,0.408743689,2009,0,0
Nocupetaro,0.235560016,2009,0,0
Nuevo Urecho,0.123314068,2009,0,0
Paracuaro,0.153776346,2009,0,0
Paracho,0.380061677,2009,0,0
Patzcuaro,0.404690743,2009,0,1
Periban,0.227519945,2009,0,1
Quiroga,0.176039358,2009,0,1
Sahuayo,0.362570564,2009,0,0
Tacambaro,0.377403481,2009,0,1
Taretan,0.43013719,2009,0,1
Tinguindin,0.363127353,2009,0,1
Tocumbo,0.461477657,2009,0,1
Turicato,0.141064036,2009,0,1
Uruapan,0.416843645,2009,0,1
Venustiano Carranza,0.25552127,2009,0,0
Zacapu,0.412922916,2009,0,0
