year,mun,mean_workers_year,pob,tasa,log_tasa,gini_mean,pto,trat_2
2012,Quiroga,344,51834,6.636570590731952,1.8925953527685961,0.295762209,1,1
2012,Tacambaro,3202,143904,22.250945074494105,3.102384482968363,0.386194209,1,1
2012,Turicato,1073,63206,16.97623643325001,2.83181450927523,0.12048155,1,1
2012,Zacapu,1621,148318,10.929219649671651,2.3914399043671906,0.42141424,1,0
2012,Tarimbaro,942,171801,5.483087991338817,1.701668444321379,0.325964322,1,1
2012,Acuitzio,305,22149,13.770373380288047,2.622519427862273,0.125231176,1,1
2012,Ario,603,70431,8.56157089917792,2.147283689575705,0.319233033,1,1
2012,Erongaricuaro,95,29582,3.211412345345142,1.1667108233513626,0.142828566,1,1
2012,La Huacana,1552,64828,23.940272721663476,3.175562091947291,0.339524983,1,0
2012,Huiramba,289,16287,17.744213176152762,2.8760594445210086,0.103083587,1,1
2012,Lagunillas,273,11113,24.565823809952306,3.2013562009814502,0.346670068,1,1
2012,Madero,412,36238,11.369280865389921,2.4309150573356106,0.206250072,1,1
2012,Salvador Escalante,1491,92394,16.137411520228586,2.7811402732904074,0.325880585,1,1
2012,Angamacutiro,307,29484,10.412427079093746,2.343000004260155,0.176110541,1,0
2012,Jose Sixto Verduzco,1068,51428,20.76689740997122,3.0333602482981377,0.229801885,1,0
2012,Morelos,191,16140,11.833952912019827,2.4709727652048272,0.07235166,1,0
2012,Panindicuaro,472,31683,14.8975791433892,2.7011987261531085,0.308426084,1,0
2012,Puruandiro,1909,136269,14.009055617932178,2.6397039503632933,0.360232223,1,0
2012,Churumuco,452,28056,16.110635871114916,2.7794796669943542,0,1,0
2012,Zinapecuaro,1028,94405,10.889253747153223,2.387776408164615,0.34984285,1,1
2012,Querendaro,280,27338,10.24215377862316,2.3265119274387884,0.122137987,1,0
2012,Indaparapeo,336,33658,9.982767841226455,2.3008603906723226,0.117010512,1,0
2012,Alvaro Obregon,348,42737,8.14282705852072,2.097137424204781,0.410467815,1,0
2012,Coeneo,394,41192,9.564964070693339,2.2581068465540937,0.204418982,1,0
2012,Jimenez,63,26451,2.3817625042531474,0.8678407616185331,0.271206651,1,0
2012,Huaniqueo,133,15953,8.336989907854322,2.120702228902893,0.150046696,1,0
2012,Caracuaro,329,19024,17.29394449116905,2.850356410816946,NA,NA,NA
2012,Cuitzeo,747,57161,13.068350798621438,2.5701933374726074,0.356441133,1,0
2012,Chucandiro,1,10249,0.09757049468240804,-2.327180139849426,0.166666667,1,0
2012,Huandacareo,344,23243,14.800154885341824,2.6946376459411083,0.203016249,1,0
2012,Copandaro,239,18120,13.189845474613687,2.5794472513166773,0.031346176,1,0
2012,Tzitzio,260,19022,13.668383976448322,2.615085426955334,0,1,0
2012,Apatzingan,7503,248855,30.150087400293344,3.40618782201786,0.411746823,1,1
2012,Charapan,975,24887,39.177080403423474,3.6680918922161783,0.201085509,1,0
2012,Cheran,1744,37297,46.759793012842856,3.8450237100081606,0.203188179,1,0
2012,Gabriel Zamora,963,42731,22.53633193700124,3.1151287596545063,0.322091668,1,0
2012,Mugica,1936,90340,21.430152756254152,3.0647989376100644,0.390883405,1,0
2012,Nuevo Urecho,458,16844,27.190691047257182,3.3028746738145034,0.1495212,1,0
2012,Paracuaro,612,51523,11.878190322768472,2.4747039725978532,0.176689692,1,0
2012,Paracho,1111,71437,15.552164844548344,2.7441998472342037,0.40221475,1,0
2012,Taretan,420,27950,15.026833631484795,2.709837511676306,0.437926272,1,1
2012,Uruapan,21448,647869,33.10545804784609,3.499698164494535,0.421257341,1,1
2012,Tingambato,764,28872,26.461623718481572,3.275695521826033,0.297132259,1,1
2012,Tepalcatepec,1585,46572,34.03332474448166,3.5273401841366114,0.389501903,1,0
2012,Buenavista,1048,85952,12.192851824274014,2.500849863980215,0.243805083,1,0
2012,Ziracuaretiro,517,31775,16.270653029110935,2.789363057432911,0.232732752,1,1
2012,Nuevo Parangaricutiro,2336,38653,60.43515380436189,4.101570952263289,0.252012635,1,1
2012,Nahuatzen,1017,56521,17.993312220236724,2.890000145536662,0.252486318,1,0
2012,Coalcoman,552,37566,14.69413831656285,2.6874486602858667,0.344089672,1,0
2012,Tumbiscatio,288,15690,18.35564053537285,2.9099369133910047,0.095138889,1,0
2012,Aguililla,725,32386,22.386216266287903,3.1084454242033956,0.199643926,1,0
2012,Tancitaro,813,60556,13.425589536957528,2.5971625527981783,0.337024684,1,1
2012,Cotija,277,39625,6.990536277602524,1.9445572739898938,0.395119069,1,1
2012,Chilchota,603,74300,8.115746971736204,2.093806245003472,0.235988342,1,1
2012,Jacona,710,130116,5.456669433428633,1.696838609757316,0.413778432,1,0
2012,Jiquilpan,3806,69210,54.99205317150701,4.007188687002323,0.414082073,1,0
2012,La Piedad,4721,202502,23.313349991605023,3.1490261575052556,0.409960457,1,0
2012,Los Reyes,1929,134276,14.36593285471715,2.6648596297392193,0.406474975,1,1
2012,Periban,1172,52424,22.356172745307493,3.1071024683997623,0.242497478,1,1
2012,Sahuayo,3389,147969,22.903445992065908,3.1312873792420923,0.36161157,1,0
2012,Tinguindin,255,27607,9.236787771217445,2.22319418140384,0.343214852,1,1
2012,Tocumbo,1080,23519,45.92031974148561,3.826907714998516,0.470688131,1,1
2012,Venustiano Carranza,651,46968,13.860500766479305,2.6290431234466842,0.265203679,1,0
2012,Zamora,14660,380139,38.56484075561834,3.6523410001311865,0.429346057,1,0
2012,Penjamillo,602,34150,17.628111273792094,2.869494859292022,0.403396677,1,0
2012,Pajacuaran,216,39552,5.461165048543689,1.6976621458489394,0.164386014,1,0
2012,Vista Hermosa,425,38824,10.946837008036267,2.393050556821502,0.21616383,1,0
2012,Tanhuato,414,30515,13.567098148451581,2.607647607828856,0.306800889,1,0
2012,Zinaparo,106,6495,16.320246343341033,2.7924064439895044,0.12719629,1,0
2012,Numaran,207,19199,10.781811552685035,2.3778605989213504,0.320747518,1,0
2012,Tangancicuaro,490,66475,7.371192177510342,1.9975794539755887,0.262601728,1,1
2012,Purepero,576,30699,18.762826150688948,2.9318775799231633,0.323541879,1,1
2012,Tlazazalca,389,13607,28.5882266480488,3.352994977409725,0.242656636,1,0
2012,Cojumatlan de Regules,221,20198,10.941677393801367,2.392579111913388,0.351038095,1,0
2012,Chavinda,136,20128,6.756756756756757,1.9105430052180221,0.313329918,1,0
2012,Tangamandapio,420,57225,7.339449541284404,1.9932638454387837,0.198164343,1,1
2012,Yurecuaro,737,60930,12.095847694075168,2.4928622279289336,0.329837558,1,0
2012,Ecuandureo,137,25320,5.410742496050553,1.6883863285521494,0.295192391,1,0
2012,Villamar,552,33576,16.440314510364548,2.7997365202458058,0.279531669,1,0
2012,Ixtlan,199,27481,7.241366762490449,1.9798099679305554,0.160885141,1,0
2012,Marcos Castellanos,717,26476,27.08113008007252,3.298837178342944,0.178902944,1,0
2012,Hidalgo,5278,238937,22.089504764854336,3.095102598206264,0.425491395,1,1
2012,Jungapeo,982,40003,24.548158888083393,3.200636857052889,0.295188707,1,1
2012,Zitacuaro,11356,311760,36.42545547857326,3.595267856562408,0.408896428,1,1
2012,Angangueo,738,21623,34.13032419183277,3.5301862616087147,0.189132938,1,0
2012,Tlalpujahua,1158,55572,20.83783200172749,3.0367701808463257,0.331294143,1,0
2012,Maravatio,3636,164184,22.145885104516882,3.0976517051705628,0.364212072,1,0
2012,Contepec,1241,66768,18.58674814282291,2.9224488613554103,0.245003077,1,0
2012,Huetamo,2234,84538,26.42598594714803,3.274347842210609,0.383451421,1,0
2012,San Lucas,728,36691,19.84137799460358,2.9877695548179783,0.29834826,1,0
2012,Irimbo,232,30055,7.719181500582266,2.0437083351751846,0.176723588,1,0
2012,Aporo,176,6570,26.788432267884325,3.2879701625416327,0.099402919,1,0
2012,Tuxpan,432,52011,8.30593528292092,2.11697035357225,0.388852814,1,1
2012,Senguio,573,37451,15.29999198953299,2.727852304838317,0.070586949,1,0
2012,Tiquicheo,369,28592,12.90570789031897,2.557669685623455,0.261542374,1,0
2012,Tuzantla,310,32215,9.622846500077603,2.264140114888586,0.133374951,1,0
2012,Arteaga,313,44344,7.058452101749954,1.9542257784226496,0.309019457,1,0
2012,Lazaro Cardenas,7719,364950,21.150842581175503,3.0516797430522127,0.452002358,1,0
2012,Ocampo,174,46115,3.7731757562615202,1.3279170225268468,0.139516601,1,1
2013,Chinicuila,115,10715,10.732617825478302,2.37328749943771,NA,NA,NA
2013,Coahuayana,472,30234,15.611563140834821,2.748011866659039,0.342652162,1,0
2013,Aquila,567,49177,11.529780181792301,2.444933269206975,0.420062393,1,0
2013,Morelia,49885,1530725,32.589132600565094,3.4839788769863755,0.449914588,1,0
2013,Nocupetaro,262,16283,16.090401031750904,2.7782228849790136,0.223452381,1,0
2013,Patzcuaro,7064,182024,38.80806926559135,3.65862819576897,0.418637445,1,1
2013,Quiroga,394,52150,7.555129434324066,2.0222267278511525,0.283706934,1,1
2013,Tacambaro,2590,145818,17.761867533500663,2.8770538859490644,0.38610779,1,1
2013,Turicato,1404,62624,22.41951967296883,3.109931993372091,0.147448694,1,1
2013,Zacapu,1803,148995,12.101077217356288,2.4932944748678882,0.422864278,1,0
2013,Tarimbaro,1586,178964,8.862117520842181,2.181785733899274,0.347456504,1,1
2013,Acuitzio,443,22209,19.94686838669008,2.993072157916065,0.154393616,1,1
2013,Ario,830,70706,11.7387491867734,2.46289526585958,0.324338047,1,1
2013,Erongaricuaro,263,29814,8.821359093043537,2.177175950329526,0.193661212,1,1
2013,La Huacana,1940,64399,30.124691377195298,3.405345147017936,0.346092551,1,0
2013,Huiramba,312,16506,18.902217375499816,2.9392792366389897,0.126739444,1,1
2013,Lagunillas,355,11161,31.807185736045156,3.459692230801838,0.329045146,1,1
2013,Madero,497,36565,13.592233009708737,2.6094985273737143,0.274194173,1,1
2013,Salvador Escalante,1653,93327,17.71191616573982,2.8742376427651415,0.332401,1,1
2013,Angamacutiro,439,29537,14.86271456139757,2.6988556983397824,0.170945096,1,0
2013,Jose Sixto Verduzco,1236,51555,23.974396275821938,3.176986439047729,0.224283837,1,0
2013,Morelos,227,16118,14.083633205112298,2.6450133575790833,0.077738757,1,0
2013,Panindicuaro,696,31447,22.132476865837756,3.0970460712449928,0.323682122,1,0
2013,Puruandiro,2780,136553,20.358395641252848,3.013493389031937,0.367259461,1,0
2013,Churumuco,583,27645,21.088804485440406,3.0487423065605963,0,1,0
2013,Zinapecuaro,1481,94868,15.611164987140027,2.747986362565151,0.350119886,1,1
2013,Querendaro,335,27416,12.219142106798948,2.5030037472527584,0.102174565,1,0
2013,Indaparapeo,473,34050,13.891336270190896,2.6312653558964114,0.150848809,1,0
2013,Alvaro Obregon,473,43152,10.961253244345569,2.3943666220945587,0.423289621,1,0
